,name,rating,state,regions
403,Hyatt Regency Lisle Near Naperville,4.2,IL,M
404,Crossroads Hotel,4.7,MO,M
405,Gaylord Texan Resort & Convention Center,4.5,TX,S
406,Baymont by Wyndham Memphis East,3.5,TN,S
407,DoubleTree by Hilton Hotel Orlando Downtown,4.2,FL,S
408,La Quinta Resort & Club A Waldorf Astoria Resort,4.6,CA,W
409,Holiday Inn Nampa,4.7,ID,W
410,Aloft Rogers-Bentonville,4.1,AR,S
411,Thornewood Castle,4.6,WA,W
412,The Cliffs Hotel and Spa,4.5,CA,W
413,Conrad Indianapolis,4.6,IN,M
414,Great Wolf Lodge Water Park | Southern California,4.5,CA,W
415,Waterfront Hotel,4.2,CA,W
416,Jupiter Beach Resort & Spa,4.5,FL,S
417,Comfort Suites Wilson I-95,4.3,NC,S
418,Hyatt Place State College,4.4,PA,N
419,The Nest on Saratoga Lake,4.4,NY,N
420,Best Western Luxury Inn,4.1,CA,W
421,Aggie Inn Ascend Hotel Collection,4.6,CA,W
422,Watt Hotel Rahway Tapestry Collection by Hilton,4.1,NJ,N
423,Irvine Marriott,4.4,CA,W
424,Renaissance Palm Springs Hotel,4.3,CA,W
425,Kimpton Cardinal Hotel,4.6,NC,S
426,DoubleTree by Hilton Hotel Modesto,4.2,CA,W
427,Grand Vista Hotel,3.9,CA,W
428,Sheraton Panama City Beach Golf & Spa Resort,4.3,FL,S
429,Noble Inn,4.7,ND,M
430,Mark Twain Hotel,4.1,IL,M
431,The Westin Huntsville,4.4,AL,S
432,The Garland,4.4,CA,W
433,Fullerton Marriott at California State University,4.2,CA,W
434,DoubleTree by Hilton Hotel Ontario Airport,4.3,CA,W
435,Courtyard by Marriott Nashville Mount Juliet,4.5,TN,S
436,Hotel St Michael Prescott,4.5,AZ,W
437,DoubleTree by Hilton Hotel Midland Plaza,3.9,TX,S
438,DoubleTree by Hilton Hotel Ontario Airport,4.3,CA,W
439,Tideline Ocean Resort & Spa,3.9,FL,S
440,Marriott Hutchinson Island Beach Resort Golf & Marina,4.3,FL,S
442,Hyatt Place Columbus-North,4.1,GA,S
443,Hampton Inn Atlanta-Buckhead,4.3,GA,S
444,Courtyard by Marriott Amarillo Downtown,4.2,TX,S
445,Little Rock Marriott,4.4,AR,S
446,The VERVE Boston Natick Tapestry Collection by Hilton,4.6,MA,N
447,Kimpton Tryon Park Hotel,4.6,NC,S
448,Home 2 Suites by Hilton Muskogee,4.7,OK,S
449,TownePlace Suites by Marriott New Orleans Downtown/Canal Street,4.3,LA,S
450,TownePlace Suites by Marriott Twin Falls,4.6,ID,W
451,Residence Inn by Marriott Manchester Downtown,4.2,NH,N
452,Motel 6,0.0,CA,W
453,The Graylyn Estate,4.7,NC,S
454,Best Western Premier Waterfront Hotel & Convention Center,4.5,WI,M
455,Fairfield Inn & Suites by Marriott Dallas West/I-30,4.4,TX,S
456,Wynn Las Vegas,4.7,NV,W
457,Clubhouse Hotel & Suites,4.5,ND,M
458,DoubleTree by Hilton Hotel Bay City - Riverfront,4.5,MI,W
459,Alamo Motel,4.3,CA,W
460,Hotel Indigo Dallas Downtown,4.3,TX,S
461,Holiday Inn Express & Suites Texarkana East,3.9,AR,S
462,Treasure Bay Casino and Hotel,4.1,MS,S
463,NYLO Providence Warwick Hotel Tapestry Collection by Hilton,4.1,RI,N
464,Courtyard by Marriott Suffolk Chesapeake,4.4,VA,S
465,DoubleTree by Hilton Hotel Monrovia - Pasadena Area,4.3,CA,W
466,Moxy Louisville Downtown,4.3,KY,S
467,Hyannis Harbor Hotel,3.9,MA,N
468,The Groton Inn,4.8,MA,N
469,Plaza Beach Hotel - Beachfront Resort,4.6,FL,S
470,C'Mon Inn,4.3,ND,M
472,Toll House Hotel,4.3,CA,W
473,Hyatt Regency Santa Clara,4.3,CA,W
474,Quality Inn & Suites Blue Springs - Kansas City,3.9,MO,M
475,Hotel Renovo,4.6,IA,M
476,Crystal Cove Beach Cottages,4.7,CA,W
477,Tru By Hilton Beavercreek Dayton,4.5,OH,M
478,Holiday Inn & Suites Decatur-Forsyth,4.0,IL,M
479,Black Swan Inn,4.7,ID,W
480,C'mon Inn,4.6,MT,W
481,Kimpton Hotel Monaco Denver,4.5,CO,W
482,Radisson Lackawanna Station Hotel Scranton,4.2,PA,N
483,Tru by Hilton Fayetteville I 95,4.6,NC,S
484,The Partridge Inn Augusta Curio Collection by Hilton,4.3,GA,S
485,Hotel Deco,4.1,NE,W
486,Morongo Casino Resort and Spa,4.2,CA,W
487,Ashland Springs Hotel,4.5,OR,W
488,Embassy Suites by Hilton Valencia,4.4,CA,W
489,TownePlace Suites by Marriott Owensboro,4.5,KY,S
490,Hilton Garden Inn Gilroy,4.3,CA,W
491,Wyndham Garden Stillwater,4.0,OK,S
492,Holiday Inn Express & Suites Coeur D Alene I-90 Exit 11,4.5,ID,W
493,DoubleTree by Hilton,4.2,CA,W
494,Hotel Galvez and Spa,4.4,TX,S
495,Fairfield Inn & Suites by Marriott Cleveland,4.4,TN,S
496,Santa Maria Inn,4.2,CA,W
497,Best Western Plus Atrium Inn & Suites,4.5,TN,S
498,The Wilbur Lititz Tapestry Collection by Hilton,4.7,PA,N
499,Best Western Exeter Inn & Suites,4.4,CA,W
500,Mission Inn Hotel & Spa,4.6,CA,W
501,The Cliff House at Pikes Peak,4.6,CO,W
502,Embassy Suites by Hilton Mandalay Beach Resort,4.1,CA,W
503,The McCormick Scottsdale,4.3,AZ,W
504,Hyatt Place Sumter / Downtown,4.5,SC,S
505,The Lautner Compound,4.6,CA,W
506,Hyatt Herald Square New York,4.2,NY,N
507,Best Western Encinitas Inn & Suites at Moonlight Beach,4.0,CA,W
508,Boston Fenway Inn by FOUND,3.7,MA,N
509,Aloft Tulsa Downtown,4.0,OK,S
510,DoubleTree by Hilton Fort Smith City Center,4.2,AR,S
511,Charleston Marriott Town Center,4.2,WV,S
512,DoubleTree by Hilton Hotel Los Angeles - Commerce,4.3,CA,W
513,Grand Lodge Hotel & Waterpark,4.2,WI,M
514,Best Western Plus The Inn & Suites at Muskogee,4.1,OK,S
515,Hotel Indigo Seattle Everett Waterfront,4.4,WA,W
516,Holiday Inn Express & Suites Porterville,4.4,CA,W
517,Renaissance Mobile Riverview Plaza Hotel,4.5,AL,S
518,Club Quarters Hotel Philadelphia Rittenhouse Square,4.0,PA,N
519,Best Western Gateway to the Keys,4.2,FL,S
520,Holiday Inn & Suites Memphis - Wolfchase Galleria,4.4,TN,S
521,Holiday Inn Express & Suites Panama City Beach - Beachfront,4.7,FL,S
522,Holiday Inn Express & Suites Tacoma Downtown,4.3,WA,W
523,Precious Moments Hotel,4.3,MO,M
524,Sheraton Erie Bayfront Hotel,4.4,PA,N
525,Tru by Hilton Edinburg,3.7,TX,S
526,Fairfield Inn & Suites by Marriott Harrisburg International Airport,4.5,PA,N
527,DoubleTree by Hilton Hotel Montgomery Downtown,4.2,AL,S
528,DoubleTree by Hilton Hotel Rochester - Mayo Clinic Area,4.5,MN,M
529,Country Inn & Suites by Radisson Grand Forks ND,4.1,ND,M
530,Days Inn by Wyndham Columbus IN,3.0,IN,M
531,Hyatt Regency Frisco - Dallas,4.5,TX,S
532,Holiday Inn Express & Suites Painesville - Concord,4.6,OH,M
533,Courtyard by Marriott Newport News Airport,4.3,VA,S
534,Hyatt Centric Mountain View,4.7,CA,W
535,Holiday Inn & Suites Memphis - Wolfchase Galleria,4.4,TN,S
536,Canopy by Hilton Jersey City Arts District,4.7,NJ,N
537,Holiday Inn Express & Suites Chowchilla - Yosemite Park Area,4.2,CA,W
538,Hilton Columbia Center,4.5,SC,S
539,Morongo Casino Resort and Spa,4.2,CA,W
540,Caesars Palace,4.6,NV,W
541,Hilton Garden Inn San Marcos,4.4,TX,S
542,Hilton Melbourne Beach Oceanfront,4.3,FL,S
543,Granville Inn,4.4,OH,M
544,Courtyard by Marriott Loveland Fort Collins,4.6,CO,W
545,Courtyard by Marriott Dothan,4.2,AL,S
546,Macon Marriott City Center,4.0,GA,S
547,The Westin Lake Mary Orlando North,4.4,FL,S
548,TownePlace Suites by Marriott Columbia,4.7,MO,M
549,Holiday Inn Express & Suites Kansas City Sport Complex Area,4.0,MO,M
550,Holiday Inn Express & Suites Kingsport-Meadowview I-26,4.4,TN,S
551,The Woodlands Resort,4.5,TX,S
552,Ramada by Wyndham Enid,3.8,OK,S
553,Courtyard by Marriott Danville,4.1,VA,S
554,Best Western Plus Executive Inn & Suites,3.9,CA,W
556,Houston Marriott South at Hobby Airport,4.2,TX,S
557,DoubleTree by Hilton Hotel Racine Harbourwalk,4.2,WI,M
558,Tropicana Evansville,4.0,IN,M
559,Columbus Marriott,4.3,GA,S
560,The Coeur d'Alene Resort,4.5,ID,W
561,DoubleTree by Hilton Hotel Los Angeles - Norwalk,4.1,CA,W
562,Holiday Inn Express & Suites Warner Robins North West,4.3,GA,S
563,The Hayes Street Hotel Nashville,4.1,TN,S
564,Castle Hotel Autograph Collection,4.4,FL,S
565,Hotel Lucent,4.4,CA,W
