,name,rating
305,Hampton Inn & Suites Palm Desert,4.4
306,Four Points by Sheraton Seattle Airport South,4.3
307,Hampton Inn Boston/Peabody,4.1
308,The Beachcomber Motel,4.4
309,BEST WESTERN PLUS Fresno Airport Hotel,4.2
310,Best Western Plus Hudson I-94,4.3
311,SpringHill Suites by Marriott Corpus Christi,4.5
312,Courtyard by Marriott St. Augustine Beach,4.4
313,Marble Distilling Co. & The Distillery Inn,4.8
314,Sofitel Los Angeles at Beverly Hills,4.6
315,Wind Creek Bethlehem,4.1
316,"Calistoga Ranch, Auberge Resorts Collection",4.8
317,Sanderling Resort,4.4
318,Tippecanoe Lake Country Club,4.6
319,Hampton Inn & Suites Blythe,4.5
320,Hotel Cathlamet,4.5
321,"Loews Hotel 1000, Seattle",4.5
322,Hampton Inn & Suites Chattanooga/Downtown,4.4
323,Camaray Motel,4.6
324,Hilton Nashville-Downtown,4.5
325,Calistoga Spa Hot Springs,4.3
326,The Glen House,4.7
327,"The Cavalier Virginia Beach, Autograph Collection",4.6
328,Hilton Fort Lauderdale Beach Resort,4.4
329,eagle crest resort,
330,"Hotel Park City, Autograph Collection",4.7
331,La Quinta Inn by Wyndham Pittsburgh Airport,3.9
332,"The Ritz-Carlton Orlando, Grande Lakes",4.7
333,Shade Hotel,4.5
334,Best Western Eagles Inn,4.5
335,Omni Rancho Las Palmas Resort & Spa,4.4
336,Park Hyatt Beaver Creek Resort And Spa,4.6
337,"Miramonte Indian Wells Resort & Spa, Curio Collection by Hilton",4.2
338,Mosaic Hotel,4.2
339,Embassy Suites by Hilton Denton Convention Center,4.6
340,Candlewood Suites Richmond North-Glen Allen,3.9
341,LivINN Hotel Minneapolis South/Burnsville,4.0
342,Comfort Inn Blythewood,4.0
343,Hilton Garden Inn Addison,4.1
344,Hobuck Beach Resort,4.6
345,DoubleTree by Hilton Hotel at the Entrance to Universal Orlando,4.2
346,LivINN Hotel Minneapolis North/Fridley,4.0
347,Homewood Suites by Hilton TechRidge Parmer @ I-35,4.5
348,Hotel Los Gatos - A Greystone Hotel,4.5
349,Hotel Prairie,4.8
350,DoubleTree by Hilton Birmingham Perimeter Park,4.2
351,Best Western Plus Hilltop Inn,4.3
352,Hyatt Regency Minneapolis,4.4
353,Staybridge Suites Greenville I-85 Woodruff Road,4.4
354,Hampton Inn Sierra Vista,4.2
355,Hotel Healdsburg,4.6
356,Adelaide Inn,4.6
357,The Scottsdale Resort at McCormick Ranch - A World of Hyatt Resort,4.4
358,Hilton Los Angeles/San Gabriel,4.3
359,3954 NY-12,
360,InterContinental Stephen F. Austin,4.4
361,Heat Hotel,4.2
362,La Quinta Inn & Suites by Wyndham Plano Legacy Frisco,4.5
363,Hampton Inn & Suites Seattle/Redmond,4.5
364,Fairfield Inn & Suites by Marriott West Monroe,4.4
365,Devil's Thumb Ranch Resort & Spa,4.6
366,Red Roof Inn & Suites Little Rock,3.7
367,"The Alexandrian Old Town Alexandria, Autograph Collection",4.3
368,Home2 Suites by Hilton Dayton Vandalia,4.3
369,Best Western Premier Crown Chase Inn & Suites,4.6
370,Tesla Destination Charger,
371,Mazama Country Inn,4.7
372,JW Marriott Desert Springs Resort & Spa,4.6
373,Belmond El Encanto,4.7
374,"The Carlyle, A Rosewood Hotel",4.5
375,Tesla Destination Charger,
376,Skamania Lodge,4.5
377,"Homewood Suites by Hilton Charlotte/Ayrsley, NC",4.4
378,Sleeping Lady Mountain Resort,4.6
379,"The St. Anthony, a Luxury Collection Hotel, San Antonio",4.5
380,Courtyard by Marriott Scottsdale Salt River,4.6
381,Mountain View Lodge & Resort,4.5
382,Hampton Inn & Suites Prattville,4.4
383,Brooklyn Gold LLC,3.6
384,Element Sedona,4.4
385,Historic Tapoco Lodge Resort,4.5
386,Four Seasons Hotel Boston,4.6
387,Waldorf Astoria New York,4.3
388,Suncadia Resort,4.4
389,Bear Mountain Inn and Overlook Lodge,4.4
390,Snowbird Mountain Lodge,4.9
391,Hyatt Regency Washington On Capitol Hill,4.3
392,Mii amo,4.8
393,Hyatt House San Jose/Silicon Valley,4.3
394,Bahama Bay Resort & Spa by Vacasa,4.4
395,The Coachman Hotel,4.5
396,Courtyard by Marriott Portland Downtown/Waterfront,4.5
397,Tallman Hotel,4.6
398,Scottsdale Marriott Old Town,4.5
399,FivePine Lodge and Spa,4.8
400,Wildwood Resort & Marina,4.7
401,"The Oaks Hotel & Suites, Ascend Hotel Collection",4.4
402,The Tiger Hotel,4.3
403,Ledgestone Hotel Elko,4.5
404,"The Westin Peachtree Plaza, Atlanta",4.3
405,Sunday River Resort,4.6
406,Candlewood Suites Wake Forest Raleigh Area,4.2
407,Fairmont Miramar - Hotel & Bungalows,4.5
408,JW Marriott Santa Monica Le Merigot,4.4
409,Holiday Inn Express & Suites Golden - Denver Area,4.3
410,Four Seasons Hotel Seattle,4.6
411,Fairfield Inn & Suites by Marriott Rockport,4.4
412,Home2 Suites by Hilton Austin Round Rock,4.6
413,Guy Waring Guest House,
414,Amara Resort and Spa,4.3
415,Fairfield Inn & Suites by Marriott Montgomery-EastChase Parkway,4.3
416,Costa d'Este Beach Resort & Spa,4.5
417,St. James Hotel,4.5
418,Red Jacket Mountain View Resort,4.3
419,Best Western Wesley Inn & Suites,4.4
420,Best Western Premier Brian Head Hotel & Spa,4.4
421,The Inn at Virginia Tech and Skelton Conference Center,4.6
422,AC Hotel by Marriott Minneapolis West End,4.5
423,Monterey Marriott,4.3
424,Hilton West Palm Beach,4.5
425,Santa Fe Motel & Inn,4.6
426,The Lodge at Pebble Beach,4.7
427,"The Westin Copley Place, Boston",4.4
428,Dallas Marriott Downtown,4.4
429,Best Western International Drive - Orlando,4.1
430,Hilton Richmond Downtown,4.4
431,La Jolla Shores Hotel,4.3
432,Best Western Plus Houston Atascocita Inn & Suites,4.5
433,SpringHill Suites by Marriott Charleston North/Ashley Phosphate,4.1
434,Chateau de Vie,4.7
435,Sofitel Los Angeles at Beverly Hills,4.6
436,Chukchansi Crossing Fuel Station &Travel Center,4.5
437,Holiday Inn & Suites Cedar Falls-Waterloo Event Ctr,4.4
438,The Hermitage Hotel,4.7
439,Best Western Heritage Inn,4.3
440,Holiday Inn Express & Suites Blythewood,4.2
441,"Motel 6 Menomonie, WI",4.0
442,"The Ritz-Carlton, Lake Tahoe",4.5
443,22 Lupfer Ave,
444,Hilton Waikiki Beach,4.0
445,Stony Brook Recreation & Camping,4.5
446,717 High St,
447,The Cosmopolitan of Las Vegas,4.6
448,Delamar Greenwich Harbor,4.6
449,InterContinental Mark Hopkins San Francisco,4.3
450,Best Western Plus Norman,4.7
451,Hampton Inn Titusville/I-95 Kennedy Space Center,4.4
452,Hyatt Regency Houston/Galleria,4.4
453,Montgomery Marriott Prattville Hotel & Conference Center at Capitol Hill,4.5
454,Finger Lakes Waterfall Resort,3.9
455,Hilton Garden Inn South Padre Island Beachfront,4.3
456,The Westin Tampa Bay,4.3
457,TownePlace Suites by Marriott San Diego Carlsbad/Vista,4.5
458,"Palace Hotel, a Luxury Collection Hotel, San Francisco",4.5
459,Sundance Base Lodge,4.3
460,Loon Mountain Resort,4.6
